Key_Escape;Escape
Key_1;D1
Key_2;D2
Key_3;D3
Key_4;D4
Key_5;D5
Key_6;D6
Key_7;D7
Key_8;D8
Key_9;D9
Key_0;D0
Key_Minus;OemMinus
Key_Equals;None
Key_Backspace;Back
Key_Tab;Tab
Key_Q;Q
Key_W;W
Key_E;E
Key_R;R
Key_T;T
Key_Y;Y
Key_U;U
Key_I;I
Key_O;O
Key_P;P
Key_LeftBracket;OemOpenBrackets
Key_RightBracket;Oem6
Key_Enter;Return
Key_LeftControl;LControlKey
Key_A;A
Key_S;S
Key_D;D
Key_F;F
Key_G;G
Key_H;H
Key_J;J
Key_K;K
Key_L;L
Key_SemiColon;Oem1
Key_Apostrophe;Oem7
Key_Grave;Oemtilde
Key_LeftShift;LShiftKey
Key_BackSlash;OemBackslash
Key_Z;Z
Key_X;X
Key_C;C
Key_V;V
Key_B;B
Key_N;N
Key_M;M
Key_Comma;Oemcomma
Key_Period;OemPeriod
Key_Slash;OemQuestion
Key_RightShift;RShiftKey
Key_Numpad_Multiply;Multiply
Key_LeftAlt;LMenu
Key_Space;Space
Key_CapsLock;Capital
Key_F1;F1
Key_F2;F2
Key_F3;F3
Key_F4;F4
Key_F5;F5
Key_F6;F6
Key_F7;F7
Key_F8;F8
Key_F9;F9
Key_F10;F10
Key_NumLock;NumLock
Key_ScrollLock;Scroll
Key_Numpad_7;NumPad7
Key_Numpad_8;NumPad8
Key_Numpad_9;NumPad9
Key_Numpad_Subtract;Subtract
Key_Numpad_4;NumPad4
Key_Numpad_5;NumPad5
Key_Numpad_6;NumPad6
Key_Numpad_Add;Add
Key_Numpad_1;NumPad1
Key_Numpad_2;NumPad2
Key_Numpad_3;NumPad3
Key_Numpad_0;NumPad0
Key_Numpad_Decimal;Decimal
Key_OEM_102;Oem102
Key_F11;F11
Key_F12;F12
Key_F13;F13
Key_F14;F14
Key_F15;F15
Key_Kana;KanaMode
Key_ABNT_C1;None
Key_Convert;None
Key_NoConvert;None
Key_Yen;None
Key_ABNT_C2;None
Key_Numpad_Equals;None
Key_PrevTrack;MediaPreviousTrack
Key_AT;None
Key_Colon;Oem1
Key_Underline;None
Key_Kanji;HanjaMode
Key_Stop;MediaStop
Key_AX;None
Key_Unlabeled;NoName
Key_NextTrack;MediaNextTrack
Key_Numpad_Enter;Return
Key_RightControl;RControlKey
Key_Mute;VolumeMute
Key_Calculator;None
Key_PlayPause;MediaPlayPause
Key_MediaStop;MediaStop
Key_VolumeDown;VolumeDown
Key_VolumeUp;VolumeUp
Key_WebHome;BrowserHome
Key_Numpad_Comma;Decimal
Key_Numpad_Divide;Divide
Key_SYSRQ;PrintScreen
Key_RightAlt;RMenu
Key_Pause;Pause
Key_Home;Home
Key_UpArrow;Up
Key_PageUp;PageUp
Key_LeftArrow;Left
Key_RightArrow;Right
Key_End;End
Key_DownArrow;Down
Key_PageDown;Next
Key_Insert;Insert
Key_Delete;Delete
Key_LeftWin;LWin
Key_RightWin;RWin
Key_Apps;Apps
Key_Power;None
Key_Sleep;Sleep
Key_Wake;None
Key_WebSearch;BrowserSearch
Key_WebFavourites;BrowserFavorites
Key_WebRefresh;BrowserRefresh
Key_WebStop;BrowserStop
Key_WebForward;BrowserForward
Key_WebBack;BrowserBack
Key_MyComputer;None
Key_Mail;LaunchMail
Key_MediaSelect;SelectMedia
Key_GreenModifier;None
Key_OrangeModifier;None
Key_ä;OemQuote
Key_ö;Oemtilde
Key_ü;OemSemicolon
Key_ß;Oem4
Key_Plus;Oemplus
Key_Acute;OemPipe
Key_LessThan;Oem102
Key_Circumflex;Oem6
Key_Hash;Oem2
